,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
84,29, Private,243660, HS-grad,, Married-civ-spouse,, Husband, White, Male,0,0,50, United-States,>=50k
85,33, Private,256062, Some-college,, Never-married, Adm-clerical, Unmarried, White, Female,0,0,35, Puerto-Rico,<50k
86,27, Private,150025, HS-grad,, Never-married,, Not-in-family, White, Male,0,0,40, Puerto-Rico,<50k
87,30, Private,251120, 7th-8th,, Never-married,, Not-in-family, White, Male,0,0,38, United-States,<50k
88,28, Private,61435, HS-grad,, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States,<50k
89,22, ?,255969, 12th,8.0, Never-married, ?, Not-in-family, White, Male,0,0,48, United-States,<50k
90,18, Private,170544, 11th,, Never-married,, Own-child, White, Male,0,0,20, United-States,<50k
91,43, Private,117158, Some-college,, Married-civ-spouse,, Husband, White, Male,0,0,45, United-States,>=50k
92,43, Private,248094, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,<50k
93,36, Private,189674, Some-college,10.0, Separated,, Other-relative, Black, Female,0,0,40, United-States,<50k
94,39, Private,269455, HS-grad,, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, United-States,<50k
95,48, Private,36503, Some-college,, Married-civ-spouse,, Husband, White, Male,0,0,40, United-States,>=50k
96,33, Private,50276, Bachelors,13.0, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States,<50k
97,34, Local-gov,22641, HS-grad,9.0, Never-married,, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States,<50k
98,39, Local-gov,43702, Assoc-voc,, Married-civ-spouse,, Wife, White, Female,0,0,37, United-States,<50k
99,28, Private,153869, 11th,, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,<50k
100,46, Private,405309, HS-grad,, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,<50k
101,20, Private,133352, Some-college,10.0, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,40, Vietnam,<50k
102,19, Private,148644, HS-grad,, Never-married,, Own-child, White, Female,0,0,40, United-States,<50k
103,50, Private,171852, Bachelors,, Separated,, Own-child, Other, Female,0,0,40, United-States,<50k
104,27, Private,203776, HS-grad,9.0, Married-civ-spouse,, Husband, White, Male,0,0,50, United-States,<50k
105,61, Self-emp-inc,148577, HS-grad,9.0, Married-civ-spouse,, Husband, White, Male,0,0,55, United-States,>=50k
106,34, Self-emp-inc,62396, Bachelors,13.0, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,62, United-States,>=50k
107,31, Private,403468, Some-college,10.0, Separated, Other-service, Unmarried, White, Female,0,0,50, Mexico,<50k
108,17, Private,132636, 11th,, Never-married,, Own-child, White, Female,0,0,15, United-States,<50k
109,23, Local-gov,254127, Bachelors,13.0, Never-married,, Other-relative, White, Female,0,0,50, United-States,<50k
110,21, Private,163870, 10th,, Married-civ-spouse,, Husband, White, Male,3908,0,40, United-States,<50k
111,50, Self-emp-not-inc,124793, Some-college,10.0, Married-civ-spouse,, Husband, White, Male,0,0,55, United-States,<50k
112,32, Private,130304, HS-grad,, Married-civ-spouse,, Husband, White, Male,0,1485,48, United-States,<50k
113,37, Private,117381, Masters,14.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States,<50k
114,49, Self-emp-not-inc,249585, 11th,7.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, United-States,<50k
115,56, Self-emp-inc,98418, Prof-school,, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,40, United-States,>=50k
116,34, Private,208785, Assoc-acdm,12.0, Divorced,, Not-in-family, White, Male,0,0,50, United-States,>=50k
117,53, Private,142411, Assoc-voc,, Divorced,, Unmarried, White, Female,0,0,40, United-States,<50k
118,71, ?,250263, Some-college,, Married-civ-spouse,, Husband, White, Male,3432,0,30, United-States,<50k
119,36, Private,199947, Some-college,, Divorced,, Own-child, White, Female,0,0,30, United-States,<50k
120,30, Private,426017, 11th,, Never-married, Other-service, Own-child, White, Female,0,0,19, United-States,<50k
121,46, Private,59767, Some-college,10.0, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States,<50k
122,27, Private,123984, Assoc-acdm,12.0, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,35, Philippines,<50k
123,31, Private,168906, Bachelors,, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States,>=50k
124,52, Private,229983, Prof-school,15.0, Married-civ-spouse, Prof-specialty, Wife, White, Female,3103,0,30, United-States,>=50k
125,30, ?,298577, HS-grad,9.0, Never-married,, Own-child, White, Male,0,0,30, United-States,<50k
126,50, Local-gov,145166, Masters,, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,40, United-States,>=50k
127,47, Private,114459, Doctorate,16.0, Married-civ-spouse,, Husband, White, Male,0,0,50, United-States,>=50k
128,18, Private,183034, Some-college,10.0, Never-married,, Own-child, Black, Male,0,0,35, United-States,<50k
129,20, Private,140001, Some-college,10.0, Never-married,, Own-child, White, Male,0,0,40, United-States,<50k
130,30, Private,104052, HS-grad,9.0, Never-married,, Not-in-family, White, Male,0,1741,42, United-States,<50k
131,39, Private,269722, Bachelors,13.0, Married-civ-spouse,, Husband, White, Male,0,0,70, United-States,<50k
132,46, Private,116635, Bachelors,13.0, Separated,, Unmarried, Black, Female,0,0,36, United-States,<50k
133,31, Private,216827, HS-grad,, Separated, Other-service, Unmarried, Black, Female,0,0,40, United-States,<50k
134,42, State-gov,219682, Masters,14.0, Divorced,, Not-in-family, White, Male,0,0,45, United-States,<50k
135,49, Local-gov,186539, Masters,, Married-civ-spouse,, Husband, White, Male,0,0,40, United-States,>=50k
136,45, Self-emp-not-inc,204405, Assoc-voc,11.0, Married-civ-spouse,, Husband, White, Male,0,0,20, United-States,<50k
137,30, Private,162572, Bachelors,, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,70, United-States,>=50k
138,19, Private,281704, Some-college,10.0, Never-married,, Not-in-family, White, Male,0,0,35, United-States,<50k
139,39, Self-emp-not-inc,34378, HS-grad,, Married-civ-spouse,, Husband, White, Male,0,0,50, United-States,<50k
140,43, Private,143368, HS-grad,, Divorced,, Not-in-family, Black, Male,0,0,40, United-States,<50k
141,33, Private,181372, Masters,, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,50, United-States,>=50k
142,31, Private,382368, 11th,, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,<50k
143,22, Private,184756, Some-college,10.0, Never-married, Sales, Own-child, White, Female,0,0,30, United-States,<50k
144,43, Private,240504, HS-grad,, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,<50k
145,47, Private,161950, Bachelors,, Divorced,, Not-in-family, White, Female,0,0,25, Germany,<50k
146,29, Private,166210, Some-college,10.0, Divorced, Tech-support, Not-in-family, White, Male,0,0,55, United-States,<50k
147,44, Private,174491, HS-grad,, Widowed,, Unmarried, Black, Female,0,0,30, United-States,<50k
148,26, Private,122575, Bachelors,, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,60, Vietnam,<50k
149,26, Private,159603, Assoc-acdm,12.0, Never-married,, Unmarried, White, Female,0,0,32, United-States,<50k
150,28, ?,149646, Some-college,, Divorced,, Own-child, White, Female,0,0,20, ?,<50k
151,38, Local-gov,210991, Bachelors,, Married-civ-spouse,, Husband, White, Male,0,1740,40, United-States,<50k
152,40, Private,115161, HS-grad,, Married-civ-spouse,, Husband, White, Male,0,0,30, United-States,<50k
153,40, Local-gov,179580, HS-grad,, Married-civ-spouse,, Wife, White, Female,0,0,40, United-States,<50k
154,32, Private,129020, HS-grad,, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,<50k
155,51, Private,173291, HS-grad,, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States,<50k
156,37, Private,87076, HS-grad,9.0, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States,<50k
157,26, State-gov,203279, Prof-school,15.0, Never-married,, Not-in-family, Asian-Pac-Islander, Male,2463,0,50, India,<50k
158,18, Private,192409, Some-college,10.0, Never-married, Sales, Own-child, White, Female,0,0,20, United-States,<50k
159,27, Private,159897, HS-grad,9.0, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,37, United-States,<50k
160,21, Private,124242, Assoc-acdm,12.0, Never-married,, Own-child, White, Female,0,0,40, United-States,<50k
161,34, Self-emp-not-inc,234960, Bachelors,13.0, Married-civ-spouse,, Husband, Black, Male,0,1887,48, United-States,>=50k
162,30, Private,103642, 11th,, Married-civ-spouse,, Husband, White, Male,0,0,40, United-States,<50k
163,19, Private,226913, Some-college,, Never-married,, Own-child, White, Female,0,0,20, United-States,<50k
164,21, Private,162228, Some-college,10.0, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States,<50k
165,53, Local-gov,110510, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,50, United-States,>=50k
166,60, Private,173960, Bachelors,, Divorced,, Not-in-family, White, Female,0,0,42, United-States,<50k
167,17, Local-gov,175587, 11th,, Never-married,, Own-child, White, Male,0,0,30, United-States,<50k
168,40, Private,224658, Bachelors,, Married-civ-spouse,, Husband, White, Male,0,0,45, United-States,>=50k
169,47, Federal-gov,55377, HS-grad,, Never-married,, Own-child, Black, Male,0,0,40, United-States,<50k
170,43, Private,74581, HS-grad,, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, United-States,>=50k
171,43, Private,341358, Assoc-voc,, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,>=50k
172,31, Self-emp-not-inc,369648, Assoc-acdm,, Married-civ-spouse,, Not-in-family, White, Male,0,0,50, United-States,>=50k
173,40, Private,111067, Bachelors,13.0, Married-civ-spouse,, Husband, White, Male,0,0,80, United-States,>=50k
174,36, Private,272944, Assoc-voc,11.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States,>=50k
175,27, Local-gov,225291, Assoc-acdm,12.0, Never-married,, Not-in-family, White, Female,0,0,40, United-States,<50k
176,23, Private,242912, Some-college,, Never-married,, Own-child, White, Female,4650,0,40, United-States,<50k
177,36, Private,297335, Bachelors,13.0, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,50, China,<50k
178,52, State-gov,104280, Some-college,10.0, Married-civ-spouse,, Husband, White, Male,0,0,50, United-States,<50k
179,37, Private,119098, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,>=50k
180,40, Private,356934, Assoc-acdm,, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States,>=50k
181,49, Self-emp-inc,201498, HS-grad,, Married-civ-spouse,, Husband, White, Male,0,0,40, United-States,<50k
182,56, Private,437727, 9th,5.0, Married-civ-spouse,, Husband, White, Male,0,0,40, United-States,<50k
183,33, Private,55699, HS-grad,, Married-civ-spouse,, Husband, White, Male,3908,0,40, United-States,<50k
184,45, Private,339863, Bachelors,, Divorced,, Not-in-family, White, Male,8614,0,48, United-States,>=50k
185,20, Private,219835, Some-college,10.0, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,30, United-States,<50k
186,68, Private,223486, HS-grad,, Widowed,, Unmarried, White, Female,0,0,7, England,<50k
187,28, Private,66434, 10th,6.0, Never-married, Other-service, Unmarried, White, Female,0,0,15, United-States,<50k
188,30, Private,39386, Some-college,, Married-civ-spouse,, Husband, Black, Male,0,0,99, United-States,<50k
189,26, Private,150062, HS-grad,, Married-civ-spouse,, Husband, White, Male,0,0,50, United-States,<50k
190,17, Private,268276, 12th,, Never-married,, Own-child, White, Male,0,0,12, United-States,<50k
191,44, Self-emp-inc,120277, Bachelors,, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999,0,45, United-States,>=50k
192,67, Local-gov,204123, Bachelors,, Married-civ-spouse,, Husband, White, Male,0,0,10, United-States,<50k
193,37, Private,172571, HS-grad,, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States,<50k
194,56, Private,182460, HS-grad,, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,>=50k
195,22, Private,253799, Bachelors,13.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, ?,<50k
196,28, Private,190525, Bachelors,, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,46, United-States,>=50k
197,38, Private,194538, Assoc-voc,11.0, Married-civ-spouse,, Husband, White, Male,0,0,48, United-States,>=50k
198,20, Private,22966, Some-college,10.0, Never-married, Other-service, Own-child, White, Male,0,0,12, Canada,<50k
199,20, ?,216563, 11th,, Never-married,, Other-relative, White, Male,0,0,40, United-States,<50k
200,24, Private,222853, Some-college,, Never-married,, Unmarried, White, Male,0,0,50, United-States,<50k
201,42, State-gov,39239, Masters,14.0, Never-married,, Not-in-family, White, Male,0,0,70, United-States,<50k
202,22, ?,22966, Some-college,10.0, Married-civ-spouse,, Husband, White, Male,0,0,6, United-States,<50k
203,23, Private,130905, Bachelors,13.0, Never-married, Sales, Own-child, White, Female,0,0,40, United-States,<50k
204,60, ?,174073, HS-grad,, Married-civ-spouse,, Husband, White, Male,0,0,40, United-States,<50k
205,60, Private,88055, 10th,, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States,<50k
206,35, Private,190728, HS-grad,, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States,<50k
207,45, Private,168038, Bachelors,13.0, Divorced, Sales, Not-in-family, White, Male,0,0,60, United-States,>=50k
208,20, Private,209131, Some-college,10.0, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States,<50k
209,41, Private,185057, Assoc-voc,11.0, Never-married,, Not-in-family, White, Female,0,0,40, ?,<50k
210,38, Private,179314, HS-grad,9.0, Married-civ-spouse,, Husband, White, Male,0,0,40, United-States,<50k
211,33, Private,144949, HS-grad,9.0, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,<50k
212,32, Private,202952, HS-grad,9.0, Married-civ-spouse,, Husband, White, Male,0,0,40, United-States,<50k
213,35, Private,154410, HS-grad,9.0, Never-married,, Not-in-family, White, Male,0,0,40, United-States,<50k
214,30, Private,193298, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States,<50k
215,22, Private,409230, 12th,, Never-married,, Other-relative, White, Male,0,0,40, United-States,<50k
216,49, Private,193366, Masters,14.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, United-States,>=50k
217,31, Private,236599, Bachelors,, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States,>=50k
218,23, Private,183327, HS-grad,9.0, Never-married,, Own-child, Black, Female,0,1594,20, United-States,<50k
219,39, Private,191502, Assoc-voc,, Married-civ-spouse,, Husband, White, Male,0,0,40, United-States,<50k
220,35, Private,210945, HS-grad,9.0, Married-civ-spouse,, Husband, White, Male,0,0,50, United-States,<50k
221,29, Private,204862, Assoc-acdm,12.0, Divorced,, Not-in-family, White, Female,0,0,36, United-States,<50k
222,32, Self-emp-inc,209691, Bachelors,13.0, Married-civ-spouse,, Husband, White, Male,0,0,50, Canada,<50k
223,37, Private,203828, 9th,5.0, Married-civ-spouse,, Husband, White, Male,0,0,65, United-States,<50k
224,39, Private,236391, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States,>=50k
225,53, Private,260106, HS-grad,9.0, Widowed,, Not-in-family, White, Female,0,0,30, United-States,<50k
226,37, Private,200374, Bachelors,13.0, Married-civ-spouse,, Husband, White, Male,0,1902,40, United-States,>=50k
227,36, Federal-gov,239074, Assoc-acdm,12.0, Married-civ-spouse,, Husband, White, Male,0,0,40, United-States,<50k
228,31, State-gov,263000, Assoc-voc,, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,38, United-States,<50k
229,48, Self-emp-inc,213140, Some-college,, Married-civ-spouse,, Husband, White, Male,0,0,40, United-States,>=50k
230,57, Private,35884, HS-grad,, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States,<50k
231,32, Self-emp-not-inc,154950, Some-college,, Married-civ-spouse,, Husband, White, Male,0,0,30, United-States,<50k
232,31, Private,49923, HS-grad,9.0, Married-civ-spouse,, Husband, White, Male,0,0,40, United-States,<50k
233,53, ?,29231, 7th-8th,4.0, Married-civ-spouse,, Husband, White, Male,0,0,35, United-States,<50k
234,27, Private,101364, HS-grad,, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Mexico,<50k
235,35, Private,379959, HS-grad,, Divorced,, Not-in-family, White, Female,0,0,40, United-States,<50k
236,41, Self-emp-not-inc,142725, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States,<50k
237,17, Private,38611, 11th,, Never-married,, Own-child, White, Female,0,0,23, United-States,<50k
238,43, Private,181015, HS-grad,9.0, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,50, United-States,<50k
239,38, Private,146178, HS-grad,9.0, Never-married,, Unmarried, Black, Female,0,0,40, United-States,<50k
240,35, Private,115803, 11th,7.0, Divorced,, Not-in-family, White, Male,0,0,40, United-States,<50k
241,28, State-gov,130620, 11th,7.0, Separated, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, India,<50k
242,22, Private,124971, Bachelors,13.0, Never-married,, Not-in-family, White, Male,0,0,40, United-States,<50k
243,61, Local-gov,167347, Some-college,10.0, Married-civ-spouse,, Husband, White, Male,0,0,35, United-States,<50k
244,18, Private,115839, 12th,8.0, Never-married,, Not-in-family, White, Female,0,0,30, United-States,<50k
245,24, Private,208882, HS-grad,9.0, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States,<50k
246,46, State-gov,119904, Prof-school,, Never-married,, Not-in-family, White, Female,0,1564,55, United-States,>=50k
247,47, Private,209320, HS-grad,9.0, Separated,, Not-in-family, White, Female,0,0,40, United-States,<50k
